filename,cell_type,region,annotator,reason
KM_dorsal_s4_ (9).stl,S4,Dorsal,KM,"Volume outlier >3SD (group mean=4.4, SD=1.3)"
VL_dorsal_s4_22.stl,S4,Dorsal,VL,"Volume outlier >3SD (group mean=4.4, SD=1.3)"
KM_ventral_s4_ (15).stl,S4,Ventral,KM,"Volume outlier >3SD (group mean=4.3, SD=2.3)"
KM_dorsal_s2_ (4).stl,S2,Dorsal,KM,IPL depth 0.0% outside expected range (5-95%)
KM_dorsal_s2_ (5).stl,S2,Dorsal,KM,IPL depth 0.0% outside expected range (5-95%)
KM_dorsal_s2_ (6).stl,S2,Dorsal,KM,IPL depth 0.0% outside expected range (5-95%)
KM_dorsal_s2_ (7).stl,S2,Dorsal,KM,IPL depth 2.1% outside expected range (5-95%)
KM_dorsal_s2_ (8).stl,S2,Dorsal,KM,IPL depth 4.2% outside expected range (5-95%)
KM_ventral_s2_ (24).stl,S2,Ventral,KM,IPL depth 98.2% outside expected range (5-95%)
KM_ventral_s2_ (28).stl,S2,Ventral,KM,IPL depth 98.4% outside expected range (5-95%)
KM_ventral_s4_ (1).stl,S4,Ventral,KM,IPL depth 98.9% outside expected range (5-95%)
KM_ventral_s4_ (10).stl,S4,Ventral,KM,IPL depth 96.3% outside expected range (5-95%)
KM_ventral_s4_ (24).stl,S4,Ventral,KM,IPL depth 99.5% outside expected range (5-95%)
KM_ventral_s4_ (27).stl,S4,Ventral,KM,IPL depth 99.2% outside expected range (5-95%)
KM_ventral_s4_ (29).stl,S4,Ventral,KM,IPL depth 100.0% outside expected range (5-95%)
KM_ventral_s4_ (3).stl,S4,Ventral,KM,IPL depth 98.9% outside expected range (5-95%)
KM_ventral_s4_ (32).stl,S4,Ventral,KM,IPL depth 96.4% outside expected range (5-95%)
KM_ventral_s4_ (33).stl,S4,Ventral,KM,IPL depth 95.2% outside expected range (5-95%)
KM_ventral_s4_ (6).stl,S4,Ventral,KM,IPL depth 97.0% outside expected range (5-95%)
KM_ventral_s4_ (8).stl,S4,Ventral,KM,IPL depth 100.0% outside expected range (5-95%)
KM_ventral_s4_ (9).stl,S4,Ventral,KM,IPL depth 100.0% outside expected range (5-95%)
VL_dorsal_s2_19.stl,S2,Dorsal,VL,IPL depth 0.0% outside expected range (5-95%)
VL_dorsal_s2_20.stl,S2,Dorsal,VL,IPL depth 0.0% outside expected range (5-95%)
VL_dorsal_s2_21.stl,S2,Dorsal,VL,IPL depth 0.0% outside expected range (5-95%)
VL_dorsal_s2_22.stl,S2,Dorsal,VL,IPL depth 2.1% outside expected range (5-95%)
VL_dorsal_s2_23.stl,S2,Dorsal,VL,IPL depth 4.2% outside expected range (5-95%)
VL_ventral_s4_ (10).stl,S4,Ventral,VL,IPL depth 100.0% outside expected range (5-95%)
VL_ventral_s4_ (11).stl,S4,Ventral,VL,IPL depth 100.0% outside expected range (5-95%)
VL_ventral_s4_ (12).stl,S4,Ventral,VL,IPL depth 96.3% outside expected range (5-95%)
VL_ventral_s4_ (13).stl,S4,Ventral,VL,IPL depth 100.0% outside expected range (5-95%)
VL_ventral_s4_ (16).stl,S4,Ventral,VL,IPL depth 96.4% outside expected range (5-95%)
VL_ventral_s4_ (17).stl,S4,Ventral,VL,IPL depth 95.2% outside expected range (5-95%)
VL_ventral_s4_ (18).stl,S4,Ventral,VL,IPL depth 98.9% outside expected range (5-95%)
VL_ventral_s4_ (20).stl,S4,Ventral,VL,IPL depth 98.9% outside expected range (5-95%)
VL_ventral_s4_ (3).stl,S4,Ventral,VL,IPL depth 99.5% outside expected range (5-95%)
VL_ventral_s4_ (6).stl,S4,Ventral,VL,IPL depth 99.2% outside expected range (5-95%)
VL_ventral_s4_ (8).stl,S4,Ventral,VL,IPL depth 97.0% outside expected range (5-95%)
